scenario,method,n,h_i,power
i_random_intercepts,EGCM,20,100,0.92
i_random_intercepts,EGCM,50,100,0.93
i_random_intercepts,EGCM,100,100,0.92
i_random_intercepts,EGCM,200,100,0.95
i_random_intercepts,GCM,20,100,0.9
i_random_intercepts,GCM,50,100,0.93
i_random_intercepts,GCM,100,100,0.92
i_random_intercepts,GCM,200,100,0.95
i_random_intercepts,EGCM,20,50,0.93
i_random_intercepts,EGCM,50,50,0.95
i_random_intercepts,EGCM,100,50,0.96
i_random_intercepts,EGCM,200,50,0.97
i_random_intercepts,GCM,20,50,0.93
i_random_intercepts,GCM,50,50,0.95
i_random_intercepts,GCM,100,50,0.96
i_random_intercepts,GCM,200,50,0.97
i_random_intercepts,EGCM,20,20,0.94
i_random_intercepts,EGCM,50,20,0.93
i_random_intercepts,EGCM,100,20,0.95
i_random_intercepts,EGCM,200,20,0.98
i_random_intercepts,GCM,20,20,0.95
i_random_intercepts,GCM,50,20,0.92
i_random_intercepts,GCM,100,20,0.95
i_random_intercepts,GCM,200,20,0.98
i_random_intercepts,EGCM,20,10,0.96
i_random_intercepts,EGCM,50,10,0.93
i_random_intercepts,EGCM,100,10,0.9
i_random_intercepts,EGCM,200,10,0.97
i_random_intercepts,GCM,20,10,0.95
i_random_intercepts,GCM,50,10,0.93
i_random_intercepts,GCM,100,10,0.91
i_random_intercepts,GCM,200,10,0.97
i_random_intercepts,EGCM,20,5,0.96
i_random_intercepts,EGCM,50,5,0.94
i_random_intercepts,EGCM,100,5,0.95
i_random_intercepts,EGCM,200,5,0.97
i_random_intercepts,GCM,20,5,0.96
i_random_intercepts,GCM,50,5,0.94
i_random_intercepts,GCM,100,5,0.95
i_random_intercepts,GCM,200,5,0.97
i_random_intercepts,EGCM,20,3,0.95
i_random_intercepts,EGCM,50,3,0.95
i_random_intercepts,EGCM,100,3,0.95
i_random_intercepts,EGCM,200,3,0.97
i_random_intercepts,GCM,20,3,0.96
i_random_intercepts,GCM,50,3,0.95
i_random_intercepts,GCM,100,3,0.96
i_random_intercepts,GCM,200,3,0.96
