scenario,method,n,h_i,type1_error
i_random_intercepts,EGCM,20,100,0.09
i_random_intercepts,GCM,20,100,0.69
i_random_intercepts,EGCM,50,100,0.05
i_random_intercepts,GCM,50,100,0.78
i_random_intercepts,EGCM,100,100,0.05
i_random_intercepts,GCM,100,100,0.87
i_random_intercepts,EGCM,200,100,0.03
i_random_intercepts,GCM,200,100,0.88
i_random_intercepts,EGCM,20,50,0.05
i_random_intercepts,GCM,20,50,0.6
i_random_intercepts,EGCM,50,50,0.02
i_random_intercepts,GCM,50,50,0.84
i_random_intercepts,EGCM,100,50,0.04
i_random_intercepts,GCM,100,50,0.86
i_random_intercepts,EGCM,200,50,0.04
i_random_intercepts,GCM,200,50,0.87
i_random_intercepts,EGCM,20,20,0.07
i_random_intercepts,GCM,20,20,0.64
i_random_intercepts,EGCM,50,20,0.1
i_random_intercepts,GCM,50,20,0.71
i_random_intercepts,EGCM,100,20,0.09
i_random_intercepts,GCM,100,20,0.88
i_random_intercepts,EGCM,200,20,0.02
i_random_intercepts,GCM,200,20,0.95
i_random_intercepts,EGCM,20,10,0.08
i_random_intercepts,GCM,20,10,0.77
i_random_intercepts,EGCM,50,10,0.05
i_random_intercepts,GCM,50,10,0.8
i_random_intercepts,EGCM,100,10,0.09
i_random_intercepts,GCM,100,10,0.89
i_random_intercepts,EGCM,200,10,0.07
i_random_intercepts,GCM,200,10,0.91
i_random_intercepts,EGCM,20,5,0.07
i_random_intercepts,GCM,20,5,0.69
i_random_intercepts,EGCM,50,5,0.06
i_random_intercepts,GCM,50,5,0.89
i_random_intercepts,EGCM,100,5,0.06
i_random_intercepts,GCM,100,5,0.91
i_random_intercepts,EGCM,200,5,0.02
i_random_intercepts,GCM,200,5,0.91
i_random_intercepts,EGCM,20,3,0.07
i_random_intercepts,GCM,20,3,0.75
i_random_intercepts,EGCM,50,3,0.06
i_random_intercepts,GCM,50,3,0.88
i_random_intercepts,EGCM,100,3,0.03
i_random_intercepts,GCM,100,3,0.92
i_random_intercepts,EGCM,200,3,0.06
i_random_intercepts,GCM,200,3,0.94
